invoice_id,customer_id,service_id,billing_period_start,billing_period_end,pricing_tier,currency,subtotal_amount,discount_amount,tax_amount,total_amount,payment_method
INV00000001,CUST01042,SRV000781,2022-02-20,2022-03-21,Premium,MYR,234.23,45.14,11.35,200.44,FPX
INV00000002,CUST00073,SRV001217,2021-07-21,2021-08-19,Standard,MYR,214.93,15.26,11.98,211.65,Bank Transfer
INV00000003,CUST00758,SRV001226,2021-08-13,2021-09-11,Premium,MYR,1200.98,34.12,70.01,1236.87,Bank Transfer
INV00000004,CUST00353,SRV001119,2020-04-02,2020-05-01,Enterprise,MYR,213.86,38.03,10.55,186.38,Direct Debit
INV00000005,CUST00513,SRV001263,2020-06-11,2020-07-10,Standard,MYR,188.34,28.23,9.61,169.72,Direct Debit
INV00000006,CUST00685,SRV000191,2023-03-16,2023-04-14,Premium,MYR,554.46,34.28,31.21,551.39,Bank Transfer
INV00000007,CUST00989,SRV000889,2020-07-19,2020-08-17,Premium,MYR,227.44,25.03,12.14,214.55,FPX
INV00000008,CUST00634,SRV000873,2025-10-14,2025-11-12,Premium,MYR,1032.64,41.34,59.48,1050.78,E Wallet
INV00000009,CUST01056,SRV001071,2024-01-24,2024-02-22,Enterprise,MYR,600.79,4.04,35.8,632.55,FPX
INV00000010,CUST00751,SRV001309,2025-05-20,2025-06-18,Enterprise,MYR,212.41,23.85,11.31,199.87,E Wallet
INV00000011,CUST00774,SRV000956,2020-11-20,2020-12-19,Premium,MYR,1285.84,13.92,76.32,1348.24,E Wallet
INV00000012,CUST00636,SRV000005,2020-05-27,2020-06-25,Standard,MYR,192.01,48.45,8.61,152.17,Bank Transfer
INV00000013,CUST00566,SRV000702,2020-02-25,2020-03-25,Enterprise,MYR,510.34,14.01,29.78,526.11,Bank Transfer
INV00000014,CUST00888,SRV001390,2018-06-06,2018-07-05,Enterprise,MYR,555.0,23.98,31.86,562.88,Credit Card
INV00000015,CUST01045,SRV001458,2025-09-15,2025-10-14,Basic,MYR,50.79,35.11,0.94,16.62,Direct Debit
INV00000016,CUST00703,SRV001438,2022-12-11,2023-01-09,Premium,MYR,570.33,0.34,34.2,604.19,E Wallet
INV00000017,CUST00307,SRV000473,2020-04-28,2020-05-27,Standard,MYR,133.41,3.23,7.81,137.99,Direct Debit
INV00000018,CUST00812,SRV001065,2019-04-02,2019-05-01,Premium,MYR,440.76,29.47,24.68,435.97,Credit Card
INV00000019,CUST00037,SRV001247,2025-08-28,2025-09-26,Premium,MYR,596.07,30.54,33.93,599.46,E Wallet
INV00000020,CUST00589,SRV001298,2025-12-03,2026-01-01,Enterprise,MYR,543.16,47.98,29.71,524.89,FPX
INV00000021,CUST00405,SRV001250,2025-03-01,2025-03-30,Standard,MYR,223.55,46.61,10.62,187.56,Credit Card
INV00000022,CUST00132,SRV000371,2024-02-25,2024-03-25,Premium,MYR,539.4,1.89,32.25,569.76,Bank Transfer
INV00000023,CUST00655,SRV000021,2021-08-06,2021-09-04,Premium,MYR,192.96,13.12,10.79,190.63,E Wallet
INV00000024,CUST00063,SRV001276,2023-05-03,2023-06-01,Basic,MYR,112.29,37.6,4.48,79.17,E Wallet
INV00000025,CUST00709,SRV001429,2021-12-25,2022-01-23,Enterprise,MYR,271.32,16.37,15.3,270.25,Credit Card
INV00000026,CUST00192,SRV000627,2024-09-22,2024-10-21,Premium,MYR,424.72,8.62,24.97,441.07,Credit Card
INV00000027,CUST00846,SRV001264,2020-05-04,2020-06-02,Enterprise,MYR,631.91,13.2,37.12,655.83,Direct Debit
INV00000028,CUST00060,SRV001422,2025-09-10,2025-10-09,Enterprise,MYR,899.67,9.09,53.43,944.01,Bank Transfer
INV00000029,CUST00744,SRV000494,2025-03-15,2025-04-13,Premium,MYR,352.35,15.67,20.2,356.88,Direct Debit
