service_id,customer_id,service_category,service_status,region,access_technology,router_model,device_os,sla_tier,service_start_date,service_end_date,bandwidth_mbps,monthly_usage_gb,avg_latency_ms,jitter_ms,monthly_outages
SRV000001,CUST00849,Unifi Business,Active,East Coast,Fibre,D Link DIR 842,iOS,Silver,2023-01-30,,1000,345,7,19,0
SRV000002,CUST01077,IoT Connectivity,Active,Sabah,4G/LTE,ZTE ZXHN F670L,Linux,Gold,2018-12-14,,100,333,68,7,5
SRV000003,CUST00027,Cloud Storage,Active,Northern,5G,TP Link Archer A6,iOS,Silver,2024-04-10,,300,335,22,8,6
SRV000004,CUST00399,Managed Security,Terminated,Southern,Fibre,ZTE ZXHN F670L,Linux,Gold,2018-08-11,2019-12-10,500,1284,6,25,0
SRV000005,CUST00636,Unifi Home,Active,Northern,Fibre,Nokia G 2425G A,Windows,Silver,2019-05-03,,1000,1790,15,17,0
SRV000006,CUST00700,Cloud Storage,Terminated,Sarawak,Fibre,Nokia G 2425G A,macOS,Silver,2018-12-16,,1000,670,11,20,2
SRV000007,CUST00316,Cloud Compute,Terminated,Northern,5G,ZTE ZXHN F670L,Linux,Gold,2021-01-17,,300,760,27,29,0
SRV000008,CUST00521,Managed Security,Suspended,Central,Fibre,ZTE ZXHN F670L,Embedded,Platinum,2021-11-05,,1000,176,8,23,2
SRV000009,CUST00810,Mobile Postpaid,Active,Central,4G/LTE,TP Link Archer A6,Windows,Bronze,2020-09-17,,100,101,34,4,2
SRV000010,CUST00798,Cloud Compute,Provisioning,Sarawak,4G/LTE,Huawei HG8145V5,Android,Gold,2018-06-26,,1000,1167,62,24,2
SRV000011,CUST00095,Cloud Storage,Provisioning,Sabah,5G,TP Link Archer A6,macOS,Silver,2024-09-22,,500,165,27,24,4
SRV000012,CUST00361,Unifi Home,Active,Northern,Fibre,Huawei HG8145V5,Windows,Silver,2023-09-20,,800,1020,7,3,0
SRV000013,CUST00442,Cloud Storage,Active,Northern,5G,D Link DIR 842,Android,Bronze,2021-02-25,,100,1080,17,23,2
